drill_id,name,urgency,duration_min,fatigue_cost,install_by_day
2667,Run Fits 667,4,8,2,1
2668,Blitz Pickup 668,4,12,5,1
2669,Tackling Form 669,5,8,5,6
2670,Coverage Shells 670,1,12,1,4
2671,Special Teams Lane 671,3,18,1,1
2672,Run Fits 672,2,12,10,5
2673,Red Zone Passing 673,4,20,4,3
2674,DB Footwork 674,2,8,4,2
2675,Screen Defense 675,2,10,5,3
2676,Goal Line 676,5,15,5,4
2677,Red Zone Passing 677,3,10,10,3
2678,Blitz Pickup 678,2,18,1,7
2679,Ball Security 679,2,18,3,3
2680,Tackling Form 680,1,20,5,6
2681,OL Zone Steps 681,4,18,9,4
2682,Screen Defense 682,3,10,9,2
2683,Tackling Form 683,4,15,3,3
2684,Special Teams Lane 684,5,18,2,1
2685,Tackling Form 685,4,20,6,6
2686,DB Footwork 686,3,12,9,3
2687,Screen Defense 687,3,18,5,6
2688,Tackling Form 688,5,12,9,5
2689,OL Zone Steps 689,2,15,6,7
2690,Blitz Pickup 690,2,15,2,6
2691,OL Zone Steps 691,1,15,1,7
2692,Blitz Pickup 692,5,10,3,6
2693,Pass Rush Moves 693,2,12,4,3
2694,Tackling Form 694,3,12,7,6
2695,OL Zone Steps 695,5,20,2,3
2696,Pass Rush Moves 696,3,12,8,5
2697,Blitz Pickup 697,2,15,7,6
2698,Pass Rush Moves 698,1,8,2,4
2699,DB Footwork 699,1,20,7,5
2700,Run Fits 700,2,12,5,3
2701,Coverage Shells 701,4,18,2,4
2702,Screen Defense 702,1,8,1,7
2703,Tackling Form 703,5,15,8,6
2704,OL Zone Steps 704,5,8,5,4
2705,DB Footwork 705,1,15,9,2
2706,RPO Reads 706,4,18,5,4
2707,Blitz Pickup 707,5,12,1,6
2708,Tackling Form 708,5,10,3,5
2709,Tackling Form 709,1,10,3,7
2710,Ball Security 710,3,20,6,4
2711,Red Zone Passing 711,5,18,4,1
2712,Coverage Shells 712,3,8,5,7
2713,OL Zone Steps 713,2,20,6,7
2714,Goal Line 714,2,10,7,7
2715,RPO Reads 715,1,8,7,1
2716,Blitz Pickup 716,5,18,1,5
2717,RPO Reads 717,1,12,3,2
2718,Special Teams Lane 718,3,20,9,4
2719,Pass Rush Moves 719,5,15,6,7
2720,Pass Rush Moves 720,2,12,8,2
2721,Screen Defense 721,2,20,8,2
2722,Red Zone Passing 722,2,12,6,7
2723,Goal Line 723,3,10,7,2
2724,Two-Minute Drill 724,2,18,1,2
2725,Coverage Shells 725,1,10,2,7
2726,Pass Rush Moves 726,3,10,6,3
2727,Special Teams Lane 727,5,15,1,5
2728,Screen Defense 728,5,10,7,2
2729,DB Footwork 729,2,12,10,1
2730,RPO Reads 730,4,20,4,2
2731,Tackling Form 731,4,10,5,3
2732,Tackling Form 732,1,10,1,2
2733,Blitz Pickup 733,1,20,3,6
2734,Red Zone Passing 734,3,12,9,7
2735,Ball Security 735,5,15,2,5
2736,OL Zone Steps 736,4,12,5,2
2737,Blitz Pickup 737,1,18,5,3
2738,Coverage Shells 738,5,20,1,7
2739,Goal Line 739,3,18,1,6
2740,Blitz Pickup 740,2,18,8,1
2741,Special Teams Lane 741,5,20,9,5
2742,Tackling Form 742,4,20,5,3
2743,Pass Rush Moves 743,3,15,1,5
2744,Tackling Form 744,1,18,5,4
2745,Ball Security 745,2,12,6,1
2746,Run Fits 746,1,20,4,4
2747,Screen Defense 747,1,15,2,2
2748,Screen Defense 748,4,18,5,6
2749,RPO Reads 749,1,18,10,4
2750,Ball Security 750,4,10,1,7
2751,Red Zone Passing 751,2,8,8,2
2752,Blitz Pickup 752,5,20,1,3
2753,Blitz Pickup 753,3,8,3,3
2754,Run Fits 754,4,18,5,7
2755,Coverage Shells 755,1,8,4,2
2756,Coverage Shells 756,2,8,9,4
2757,Goal Line 757,2,15,7,5
2758,Two-Minute Drill 758,3,18,10,5
2759,RPO Reads 759,5,8,4,3
2760,Pass Rush Moves 760,3,15,4,5
2761,Run Fits 761,1,20,5,7
2762,Goal Line 762,1,12,1,7
2763,RPO Reads 763,5,20,8,5
2764,Tackling Form 764,1,20,3,5
2765,RPO Reads 765,2,15,10,4
2766,DB Footwork 766,1,20,9,7
2767,Blitz Pickup 767,2,12,3,4
2768,RPO Reads 768,3,12,7,1
2769,Ball Security 769,5,18,9,2
2770,Two-Minute Drill 770,3,8,3,2
2771,Two-Minute Drill 771,3,10,2,4
2772,Red Zone Passing 772,2,15,1,1
2773,Goal Line 773,5,18,9,7
2774,Screen Defense 774,1,10,3,1
2775,Two-Minute Drill 775,2,10,10,1
2776,Ball Security 776,1,8,5,5
2777,Two-Minute Drill 777,2,18,1,7
2778,Screen Defense 778,2,18,7,1
2779,Two-Minute Drill 779,4,18,9,2
2780,Goal Line 780,2,10,7,6
2781,OL Zone Steps 781,5,18,5,4
2782,RPO Reads 782,5,15,2,3
2783,Screen Defense 783,4,20,10,6
2784,RPO Reads 784,4,8,6,2
2785,Ball Security 785,5,8,9,1
2786,Two-Minute Drill 786,4,20,8,2
2787,Screen Defense 787,3,8,2,2
2788,Blitz Pickup 788,3,18,5,2
2789,Two-Minute Drill 789,3,20,10,4
2790,Two-Minute Drill 790,1,8,6,7
2791,RPO Reads 791,4,15,8,2
2792,Tackling Form 792,5,18,6,2
2793,Screen Defense 793,4,15,2,4
2794,Run Fits 794,2,15,6,7
2795,Ball Security 795,4,12,10,5
2796,DB Footwork 796,5,12,10,3
2797,Two-Minute Drill 797,2,18,7,6
2798,Tackling Form 798,3,18,7,6
2799,Tackling Form 799,5,10,1,5
2800,Blitz Pickup 800,3,18,5,4
2801,Run Fits 801,1,18,5,5
2802,Special Teams Lane 802,2,10,4,4
2803,Two-Minute Drill 803,4,18,6,2
2804,Ball Security 804,2,18,1,1
2805,Screen Defense 805,5,10,1,6
2806,OL Zone Steps 806,1,12,7,1
2807,Coverage Shells 807,5,15,6,3
2808,DB Footwork 808,4,8,2,2
2809,Two-Minute Drill 809,1,18,7,1
2810,Run Fits 810,1,18,5,2
2811,Screen Defense 811,4,12,7,2
2812,Coverage Shells 812,5,18,7,4
2813,Ball Security 813,3,20,3,7
2814,Two-Minute Drill 814,3,18,3,4
2815,OL Zone Steps 815,2,18,7,5
2816,Pass Rush Moves 816,3,8,5,1
2817,Special Teams Lane 817,4,8,7,7
2818,DB Footwork 818,1,15,3,3
2819,Screen Defense 819,3,8,8,2
2820,Blitz Pickup 820,4,20,4,1
2821,Tackling Form 821,5,12,1,1
2822,Special Teams Lane 822,4,8,5,4
2823,Run Fits 823,1,10,9,1
2824,Coverage Shells 824,5,12,4,6
2825,Red Zone Passing 825,3,18,5,2
2826,Run Fits 826,3,8,2,3
2827,Special Teams Lane 827,2,18,9,3
2828,Special Teams Lane 828,5,20,1,6
2829,OL Zone Steps 829,3,10,9,4
2830,Blitz Pickup 830,3,8,7,2
2831,Ball Security 831,3,20,8,7
2832,Run Fits 832,1,8,5,2
2833,Special Teams Lane 833,4,18,10,4
2834,Coverage Shells 834,4,8,9,7
2835,Two-Minute Drill 835,1,20,9,4
2836,Coverage Shells 836,4,8,3,3
2837,OL Zone Steps 837,2,10,4,4
2838,Screen Defense 838,2,10,10,4
2839,RPO Reads 839,5,8,6,7
2840,Goal Line 840,1,12,4,4
2841,Two-Minute Drill 841,1,10,10,5
2842,OL Zone Steps 842,1,8,8,7
2843,Ball Security 843,4,12,10,1
2844,Two-Minute Drill 844,5,12,6,5
2845,Tackling Form 845,2,12,8,3
2846,Ball Security 846,2,12,4,4
2847,RPO Reads 847,4,10,1,1
2848,OL Zone Steps 848,3,15,4,6
2849,Red Zone Passing 849,3,12,7,6
2850,Tackling Form 850,4,15,9,7
2851,OL Zone Steps 851,4,8,10,5
2852,Run Fits 852,4,15,9,4
2853,Two-Minute Drill 853,5,12,3,6
2854,Two-Minute Drill 854,1,8,2,1
2855,Blitz Pickup 855,1,10,1,7
2856,RPO Reads 856,5,8,6,4
2857,Blitz Pickup 857,4,18,2,2
2858,RPO Reads 858,5,10,1,6
2859,Two-Minute Drill 859,2,20,7,5
2860,Special Teams Lane 860,1,18,3,2
2861,Screen Defense 861,5,20,4,3
2862,OL Zone Steps 862,2,15,1,3
2863,Ball Security 863,3,18,6,4
2864,Two-Minute Drill 864,5,10,8,2
2865,Run Fits 865,2,18,2,3
2866,Coverage Shells 866,5,15,3,1
2867,Goal Line 867,4,12,4,2
2868,Ball Security 868,1,20,8,1
2869,Goal Line 869,5,12,7,3
2870,Red Zone Passing 870,1,18,1,4
2871,RPO Reads 871,4,18,1,5
2872,Coverage Shells 872,4,12,4,4
2873,Coverage Shells 873,3,8,9,6
2874,Blitz Pickup 874,3,8,6,7
2875,Pass Rush Moves 875,2,20,4,5
2876,Goal Line 876,5,20,8,6
2877,Two-Minute Drill 877,2,8,10,5
2878,Red Zone Passing 878,4,15,2,5
2879,Pass Rush Moves 879,1,12,9,6
2880,Goal Line 880,5,18,6,2
2881,Pass Rush Moves 881,2,15,8,2
2882,Pass Rush Moves 882,1,18,8,1
2883,Blitz Pickup 883,2,20,3,5
2884,Red Zone Passing 884,1,12,4,2
2885,OL Zone Steps 885,5,20,9,2
2886,Pass Rush Moves 886,2,18,8,6
2887,Goal Line 887,5,20,9,3
2888,RPO Reads 888,2,10,5,2
2889,Special Teams Lane 889,5,8,4,6
2890,Tackling Form 890,4,18,2,3
2891,RPO Reads 891,3,18,1,2
2892,Run Fits 892,1,12,5,4
2893,Coverage Shells 893,4,15,2,5
2894,Ball Security 894,4,20,10,7
2895,Coverage Shells 895,1,10,6,6
2896,DB Footwork 896,5,12,10,3
2897,Goal Line 897,4,15,7,4
2898,Coverage Shells 898,3,8,9,2
2899,OL Zone Steps 899,4,10,1,3
2900,OL Zone Steps 900,5,10,5,4
2901,Tackling Form 901,3,10,5,3
2902,Blitz Pickup 902,1,10,5,7
2903,Goal Line 903,3,8,3,6
2904,DB Footwork 904,5,12,2,4
2905,Red Zone Passing 905,5,8,2,3
2906,Run Fits 906,5,18,2,3
2907,Pass Rush Moves 907,4,20,3,6
2908,Tackling Form 908,3,15,8,3
2909,Coverage Shells 909,2,12,4,1
2910,DB Footwork 910,2,20,5,4
2911,Two-Minute Drill 911,5,18,1,3
2912,Tackling Form 912,1,10,7,7
2913,Tackling Form 913,2,20,10,6
2914,Tackling Form 914,2,18,5,5
2915,DB Footwork 915,2,15,1,1
2916,Pass Rush Moves 916,4,12,5,6
2917,OL Zone Steps 917,2,8,6,5
2918,Tackling Form 918,1,18,9,3
2919,DB Footwork 919,1,15,5,5
2920,Two-Minute Drill 920,3,8,8,3
2921,DB Footwork 921,2,12,10,1
2922,Two-Minute Drill 922,3,18,10,3
2923,Goal Line 923,4,20,4,5
2924,Coverage Shells 924,2,15,3,5
2925,Coverage Shells 925,4,12,2,6
2926,OL Zone Steps 926,5,12,9,4
2927,Run Fits 927,2,15,9,6
2928,Coverage Shells 928,5,12,8,2
2929,DB Footwork 929,2,15,9,2
2930,Special Teams Lane 930,4,12,6,6
2931,OL Zone Steps 931,2,20,2,5
2932,Screen Defense 932,3,20,10,7
2933,DB Footwork 933,5,20,4,4
2934,Screen Defense 934,3,8,5,1
2935,Tackling Form 935,1,8,9,6
2936,Special Teams Lane 936,1,8,9,7
2937,Ball Security 937,3,18,3,2
2938,Blitz Pickup 938,4,12,8,7
2939,Coverage Shells 939,1,8,1,7
2940,RPO Reads 940,4,8,3,2
2941,Run Fits 941,5,10,4,7
2942,Tackling Form 942,1,20,7,1
2943,Ball Security 943,5,10,10,3
2944,Pass Rush Moves 944,5,18,1,4
2945,Ball Security 945,3,15,4,6
2946,Red Zone Passing 946,2,20,4,7
2947,Two-Minute Drill 947,1,15,3,1
2948,OL Zone Steps 948,2,18,2,2
2949,OL Zone Steps 949,5,18,2,1
2950,OL Zone Steps 950,5,15,10,4
2951,Red Zone Passing 951,5,20,3,2
2952,Blitz Pickup 952,4,15,7,7
2953,Two-Minute Drill 953,1,15,6,2
2954,Screen Defense 954,5,8,9,4
2955,Tackling Form 955,1,20,3,1
2956,Coverage Shells 956,4,20,5,6
2957,Blitz Pickup 957,1,18,9,3
2958,Coverage Shells 958,2,20,3,2
2959,Two-Minute Drill 959,2,15,8,4
2960,Two-Minute Drill 960,3,12,9,1
2961,Ball Security 961,1,20,6,5
2962,RPO Reads 962,3,10,7,3
2963,OL Zone Steps 963,5,8,3,3
2964,Blitz Pickup 964,5,15,6,6
2965,Two-Minute Drill 965,1,8,5,4
2966,DB Footwork 966,3,8,8,4
2967,OL Zone Steps 967,2,15,3,3
2968,Special Teams Lane 968,5,8,9,3
2969,Two-Minute Drill 969,2,12,5,4
2970,Screen Defense 970,4,15,4,4
2971,Special Teams Lane 971,4,20,5,1
2972,OL Zone Steps 972,5,8,9,3
2973,Ball Security 973,1,15,5,7
2974,Screen Defense 974,1,18,7,7
2975,Two-Minute Drill 975,3,18,4,5
2976,Goal Line 976,1,20,5,6
2977,Red Zone Passing 977,4,12,4,3
2978,Blitz Pickup 978,1,10,4,5
2979,Goal Line 979,1,10,3,2
2980,Pass Rush Moves 980,1,20,2,4
2981,Coverage Shells 981,2,18,4,4
2982,Two-Minute Drill 982,4,10,9,1
2983,Goal Line 983,3,8,6,3
2984,Screen Defense 984,2,18,7,3
2985,Pass Rush Moves 985,5,18,6,3
2986,Ball Security 986,4,12,9,7
2987,Goal Line 987,1,18,1,4
2988,Ball Security 988,5,18,4,7
2989,Coverage Shells 989,4,15,10,3
2990,DB Footwork 990,2,20,8,4
2991,Ball Security 991,4,12,8,5
2992,Red Zone Passing 992,4,8,1,4
2993,Ball Security 993,5,18,5,5
2994,Tackling Form 994,1,15,9,1
2995,Screen Defense 995,4,20,7,6
2996,Tackling Form 996,3,18,6,7
2997,Two-Minute Drill 997,4,20,4,7
2998,Coverage Shells 998,3,20,8,5
2999,DB Footwork 999,5,18,1,1
3000,Blitz Pickup 1000,4,10,4,6
3001,OL Zone Steps 1001,2,12,1,4
3002,Pass Rush Moves 1002,5,20,5,4
3003,Tackling Form 1003,2,10,10,4
3004,Two-Minute Drill 1004,4,18,2,4
3005,Screen Defense 1005,4,8,9,7
3006,Screen Defense 1006,2,10,4,5
3007,Red Zone Passing 1007,5,8,1,6
3008,Red Zone Passing 1008,1,12,4,6
3009,Special Teams Lane 1009,2,15,10,4
3010,RPO Reads 1010,5,18,5,1
3011,Ball Security 1011,4,20,9,4
3012,Ball Security 1012,4,12,3,5
3013,Tackling Form 1013,3,12,5,1
3014,Blitz Pickup 1014,1,12,1,5
3015,Pass Rush Moves 1015,3,18,2,5
3016,Run Fits 1016,4,12,4,4
3017,RPO Reads 1017,4,10,3,4
3018,Goal Line 1018,1,20,2,7
3019,OL Zone Steps 1019,4,15,5,5
3020,Run Fits 1020,4,12,3,5
3021,Run Fits 1021,5,20,9,3
3022,Pass Rush Moves 1022,2,15,1,6
3023,Pass Rush Moves 1023,3,8,1,6
3024,Two-Minute Drill 1024,1,20,6,2
3025,Ball Security 1025,3,10,7,6
3026,Tackling Form 1026,1,20,8,6
3027,Two-Minute Drill 1027,3,10,9,3
3028,DB Footwork 1028,1,12,3,3
3029,Run Fits 1029,4,18,3,7
3030,Red Zone Passing 1030,1,18,5,7
3031,Blitz Pickup 1031,5,15,2,7
3032,RPO Reads 1032,2,10,6,5
3033,RPO Reads 1033,1,8,6,5
3034,Goal Line 1034,2,12,7,6
3035,Run Fits 1035,4,8,5,1
3036,Tackling Form 1036,4,10,3,1
3037,Goal Line 1037,2,20,1,3
3038,Special Teams Lane 1038,3,20,8,1
3039,RPO Reads 1039,4,18,6,6
3040,OL Zone Steps 1040,3,12,3,4
3041,Pass Rush Moves 1041,5,15,4,5
3042,Tackling Form 1042,5,18,6,4
3043,Ball Security 1043,1,15,6,1
3044,DB Footwork 1044,3,10,7,4
3045,Two-Minute Drill 1045,2,15,1,3
3046,RPO Reads 1046,4,18,10,3
3047,Run Fits 1047,5,18,3,5
3048,Ball Security 1048,4,10,3,5
3049,Red Zone Passing 1049,1,12,7,5
3050,Run Fits 1050,1,18,3,4
3051,Run Fits 1051,3,15,1,5
3052,Pass Rush Moves 1052,1,18,5,1
3053,Special Teams Lane 1053,3,8,2,3
3054,Two-Minute Drill 1054,3,10,5,2
3055,Run Fits 1055,5,8,3,2
3056,OL Zone Steps 1056,1,18,7,3
3057,Two-Minute Drill 1057,4,15,5,3
3058,RPO Reads 1058,5,20,6,1
3059,Run Fits 1059,2,18,7,6
3060,OL Zone Steps 1060,2,8,5,4
3061,Run Fits 1061,5,10,3,5
3062,Red Zone Passing 1062,2,20,5,7
3063,DB Footwork 1063,2,12,5,5
3064,Tackling Form 1064,2,8,2,2
3065,DB Footwork 1065,2,18,5,6
3066,Tackling Form 1066,2,15,9,4
3067,Two-Minute Drill 1067,3,18,5,7
3068,Tackling Form 1068,5,10,2,4
3069,Pass Rush Moves 1069,4,8,2,5
3070,Two-Minute Drill 1070,4,15,10,1
3071,Coverage Shells 1071,3,20,4,7
3072,OL Zone Steps 1072,3,12,2,7
3073,Red Zone Passing 1073,4,20,4,4
3074,Ball Security 1074,4,20,3,7
3075,OL Zone Steps 1075,3,20,1,2
3076,Coverage Shells 1076,5,10,5,6
3077,RPO Reads 1077,3,10,6,1
3078,DB Footwork 1078,3,8,7,7
3079,Screen Defense 1079,5,18,7,1
3080,Goal Line 1080,4,15,7,6
3081,Special Teams Lane 1081,2,15,7,5
3082,Coverage Shells 1082,1,20,6,7
3083,OL Zone Steps 1083,4,8,4,5
3084,Special Teams Lane 1084,3,15,3,6
3085,Tackling Form 1085,4,20,4,4
3086,OL Zone Steps 1086,3,8,6,1
3087,RPO Reads 1087,2,18,6,5
3088,Ball Security 1088,2,18,8,6
3089,Tackling Form 1089,4,18,3,5
3090,Ball Security 1090,4,20,1,5
3091,Blitz Pickup 1091,1,18,5,7
3092,DB Footwork 1092,3,15,10,6
3093,Run Fits 1093,1,8,6,4
3094,Run Fits 1094,3,20,8,1
3095,DB Footwork 1095,1,10,7,1
3096,Tackling Form 1096,5,15,4,1
3097,Blitz Pickup 1097,5,15,2,4
3098,Run Fits 1098,2,15,9,6
3099,Tackling Form 1099,2,20,6,4
3100,Blitz Pickup 1100,3,8,5,4
3101,Screen Defense 1101,4,10,10,2
3102,RPO Reads 1102,3,18,6,1
3103,Screen Defense 1103,1,20,3,7
3104,Blitz Pickup 1104,3,12,5,1
3105,Red Zone Passing 1105,4,20,5,1
3106,Goal Line 1106,1,12,6,3
3107,Special Teams Lane 1107,1,15,2,5
3108,Screen Defense 1108,1,18,4,3
3109,Ball Security 1109,4,10,7,3
3110,Run Fits 1110,5,10,5,7
3111,Blitz Pickup 1111,4,18,1,2
3112,Tackling Form 1112,1,10,10,4
3113,Screen Defense 1113,4,20,4,7
3114,Coverage Shells 1114,5,8,2,6
3115,OL Zone Steps 1115,5,18,1,1
3116,Two-Minute Drill 1116,5,8,7,1
3117,Red Zone Passing 1117,1,20,6,1
3118,Coverage Shells 1118,3,18,1,2
3119,Goal Line 1119,2,20,4,6
3120,Goal Line 1120,1,8,1,4
3121,Screen Defense 1121,1,20,5,5
3122,Red Zone Passing 1122,2,18,4,7
3123,OL Zone Steps 1123,5,20,10,1
3124,DB Footwork 1124,5,10,3,3
3125,Pass Rush Moves 1125,3,10,5,4
3126,Red Zone Passing 1126,2,12,5,5
3127,Special Teams Lane 1127,1,20,2,7
3128,OL Zone Steps 1128,4,10,10,6
3129,Tackling Form 1129,5,15,4,1
3130,Two-Minute Drill 1130,3,12,1,3
3131,Blitz Pickup 1131,4,10,4,5
3132,RPO Reads 1132,1,18,1,1
3133,DB Footwork 1133,1,8,5,6
3134,Two-Minute Drill 1134,1,10,6,2
3135,RPO Reads 1135,4,12,5,6
3136,Goal Line 1136,3,8,10,5
3137,Two-Minute Drill 1137,2,20,10,6
3138,Goal Line 1138,3,15,1,6
3139,Two-Minute Drill 1139,4,10,9,4
3140,Red Zone Passing 1140,4,12,6,5
3141,Goal Line 1141,1,10,2,3
3142,Ball Security 1142,2,12,8,5
3143,Coverage Shells 1143,3,20,2,6
3144,OL Zone Steps 1144,1,8,4,7
3145,DB Footwork 1145,1,18,4,1
3146,Tackling Form 1146,4,18,9,2
3147,Special Teams Lane 1147,3,15,5,5
3148,Coverage Shells 1148,5,8,10,7
3149,Two-Minute Drill 1149,3,8,2,2
3150,Special Teams Lane 1150,3,20,6,1
3151,Screen Defense 1151,1,8,6,5
3152,Goal Line 1152,2,10,1,6
3153,OL Zone Steps 1153,3,12,5,2
3154,Blitz Pickup 1154,2,8,5,5
3155,Red Zone Passing 1155,5,8,3,2
3156,DB Footwork 1156,4,10,9,7
3157,Screen Defense 1157,5,15,7,7
3158,Screen Defense 1158,2,10,10,7
3159,Pass Rush Moves 1159,5,8,2,1
3160,Tackling Form 1160,5,12,10,6
3161,Red Zone Passing 1161,5,18,9,4
3162,RPO Reads 1162,1,10,4,2
3163,Coverage Shells 1163,1,18,9,6
3164,Pass Rush Moves 1164,5,15,5,4
3165,Red Zone Passing 1165,2,20,10,2
3166,Run Fits 1166,2,20,10,1
3167,DB Footwork 1167,2,20,5,7
3168,Red Zone Passing 1168,4,12,6,1
3169,Goal Line 1169,1,20,7,2
3170,Ball Security 1170,3,18,2,1
3171,Special Teams Lane 1171,1,20,9,7
3172,DB Footwork 1172,4,20,6,3
3173,Special Teams Lane 1173,4,8,5,6
3174,Special Teams Lane 1174,4,20,10,6
3175,Run Fits 1175,3,10,7,3
3176,Coverage Shells 1176,2,15,4,7
3177,OL Zone Steps 1177,1,15,6,3
3178,Blitz Pickup 1178,5,15,3,4
3179,Pass Rush Moves 1179,3,18,5,7
3180,Blitz Pickup 1180,2,8,9,5
3181,Blitz Pickup 1181,3,20,9,2
3182,DB Footwork 1182,5,8,1,6
3183,RPO Reads 1183,2,10,10,1
3184,Tackling Form 1184,5,20,6,3
3185,DB Footwork 1185,5,20,8,7
3186,Goal Line 1186,1,15,9,5
3187,OL Zone Steps 1187,2,20,8,3
3188,Two-Minute Drill 1188,3,10,1,2
3189,Screen Defense 1189,5,8,8,5
3190,Goal Line 1190,4,15,7,6
3191,Blitz Pickup 1191,1,18,5,6
3192,Red Zone Passing 1192,3,15,5,6
3193,DB Footwork 1193,1,20,3,5
3194,Ball Security 1194,4,15,10,5
3195,RPO Reads 1195,2,20,3,2
3196,RPO Reads 1196,4,12,7,2
3197,Coverage Shells 1197,1,18,9,7
3198,DB Footwork 1198,5,18,4,7
3199,DB Footwork 1199,5,12,10,2
3200,Ball Security 1200,5,12,6,5
3201,Red Zone Passing 1201,5,20,4,5
3202,Tackling Form 1202,5,10,4,5
3203,Run Fits 1203,2,8,4,4
3204,Run Fits 1204,1,18,3,3
3205,DB Footwork 1205,2,8,1,3
3206,RPO Reads 1206,5,15,5,4
3207,Red Zone Passing 1207,3,15,2,6
3208,Special Teams Lane 1208,5,12,2,1
3209,Two-Minute Drill 1209,2,20,10,1
3210,Two-Minute Drill 1210,4,10,9,4
3211,Goal Line 1211,2,12,10,5
3212,Two-Minute Drill 1212,2,12,9,4
3213,Coverage Shells 1213,2,18,2,3
3214,Special Teams Lane 1214,2,18,1,1
3215,RPO Reads 1215,4,18,9,3
3216,RPO Reads 1216,4,10,8,1
3217,Run Fits 1217,2,8,2,6
3218,Ball Security 1218,3,20,1,3
3219,Goal Line 1219,2,10,8,3
3220,Pass Rush Moves 1220,4,10,1,1
3221,Pass Rush Moves 1221,1,15,10,7
3222,Screen Defense 1222,5,20,9,7
3223,Coverage Shells 1223,1,10,5,1
3224,Ball Security 1224,5,20,3,3
3225,RPO Reads 1225,2,8,10,2
3226,Special Teams Lane 1226,3,8,10,5
3227,Coverage Shells 1227,4,12,3,1
3228,Goal Line 1228,1,8,10,1
3229,Coverage Shells 1229,4,18,10,2
3230,RPO Reads 1230,1,10,6,1
3231,Red Zone Passing 1231,4,15,8,6
3232,Tackling Form 1232,1,15,4,4
3233,RPO Reads 1233,3,12,2,2
3234,OL Zone Steps 1234,5,10,3,7
3235,Ball Security 1235,3,15,8,1
3236,Coverage Shells 1236,3,10,10,1
3237,Goal Line 1237,5,18,7,4
3238,RPO Reads 1238,4,8,9,1
3239,Two-Minute Drill 1239,3,18,10,1
3240,Coverage Shells 1240,5,15,2,4
3241,Blitz Pickup 1241,1,8,6,4
3242,Pass Rush Moves 1242,1,10,5,2
3243,Red Zone Passing 1243,5,10,6,6
3244,Goal Line 1244,2,10,7,5
3245,DB Footwork 1245,4,8,4,1
3246,Ball Security 1246,2,20,9,2
3247,Blitz Pickup 1247,5,12,4,5
3248,Blitz Pickup 1248,3,12,10,4
3249,Run Fits 1249,4,8,2,1
3250,Special Teams Lane 1250,5,20,6,4
3251,Special Teams Lane 1251,1,18,6,7
3252,Blitz Pickup 1252,4,10,2,5
3253,Red Zone Passing 1253,1,12,4,5
3254,Run Fits 1254,1,20,9,1
3255,Run Fits 1255,2,8,2,3
3256,Goal Line 1256,1,18,5,5
3257,Coverage Shells 1257,3,12,6,4
3258,Special Teams Lane 1258,5,12,4,7
3259,DB Footwork 1259,4,15,7,6
3260,Run Fits 1260,4,8,9,1
3261,Pass Rush Moves 1261,2,8,7,3
3262,Screen Defense 1262,1,10,5,7
3263,DB Footwork 1263,2,8,7,3
3264,Goal Line 1264,5,20,5,4
3265,Two-Minute Drill 1265,3,18,2,1
3266,Ball Security 1266,4,15,4,6
3267,Blitz Pickup 1267,4,10,6,6
3268,Pass Rush Moves 1268,5,10,8,6
3269,Coverage Shells 1269,4,12,7,1
3270,DB Footwork 1270,1,15,4,3
3271,RPO Reads 1271,4,15,3,1
3272,OL Zone Steps 1272,1,10,6,5
3273,Ball Security 1273,4,15,10,2
3274,Coverage Shells 1274,4,18,7,3
3275,Ball Security 1275,4,20,7,5
3276,Tackling Form 1276,3,10,4,1
3277,RPO Reads 1277,2,12,10,6
3278,Pass Rush Moves 1278,1,20,5,6
3279,Blitz Pickup 1279,1,15,6,7
3280,Goal Line 1280,4,8,6,3
3281,Two-Minute Drill 1281,1,8,5,6
3282,Two-Minute Drill 1282,5,20,4,3
3283,Screen Defense 1283,4,20,1,7
3284,Red Zone Passing 1284,3,8,2,2
3285,Blitz Pickup 1285,4,12,10,3
3286,OL Zone Steps 1286,4,12,8,7
3287,Special Teams Lane 1287,3,18,3,4
3288,Special Teams Lane 1288,1,15,7,6
3289,Blitz Pickup 1289,2,10,9,5
3290,Blitz Pickup 1290,2,12,5,6
3291,Screen Defense 1291,1,10,5,2
3292,Red Zone Passing 1292,1,20,2,1
3293,Screen Defense 1293,2,12,3,7
3294,Ball Security 1294,3,20,2,4
3295,Ball Security 1295,3,10,2,1
3296,Two-Minute Drill 1296,2,12,6,7
3297,Red Zone Passing 1297,3,15,7,3
3298,Special Teams Lane 1298,4,12,2,4
3299,Special Teams Lane 1299,1,20,4,1
3300,Coverage Shells 1300,2,10,8,6
3301,Pass Rush Moves 1301,3,8,6,6
3302,DB Footwork 1302,3,8,6,3
3303,OL Zone Steps 1303,2,20,6,3
3304,DB Footwork 1304,4,20,2,3
3305,DB Footwork 1305,2,20,1,4
3306,Special Teams Lane 1306,4,12,5,6
3307,Blitz Pickup 1307,3,12,6,3
3308,Goal Line 1308,2,15,3,3
3309,Tackling Form 1309,5,18,1,2
3310,Red Zone Passing 1310,3,12,7,3
3311,Screen Defense 1311,2,20,4,5
3312,Coverage Shells 1312,5,10,3,6
3313,Pass Rush Moves 1313,2,12,2,4
3314,Special Teams Lane 1314,4,10,6,5
3315,Pass Rush Moves 1315,2,8,2,6
3316,Pass Rush Moves 1316,2,18,1,6
3317,Two-Minute Drill 1317,4,15,3,1
3318,OL Zone Steps 1318,2,20,9,5
3319,Run Fits 1319,3,20,6,5
